fccompanyId,companyName
1769,Amazon.com
11550,Walmart
107015,McDonald's
5142,Target
13940,United States Postal Service
3520,Starbucks
145087,ALDI
12285,Chick-fil-A
11408,UPS
28181153,Instacart
863,The Home Depot
7586,Dollar General
22081750,Kroger Stores
20295,Teleperformance
4218,KFC
16444,Kohl's
8123,Walgreens
45137657,CVS Health
244771,Publix
4649,Chipotle Mexican Grill
4959,Panera Bread
1905,Subway
2743,FedEx
6145,Burger King
11180,Sam's Club
2839,FedEx Ground
30847995,Spectrum
6785,PetSmart
22531,Lowe's
163810,Costco Wholesale
203504,Concentrix
4229,Macy's
852,Wells Fargo
5114,JCPenney
304307,Domino's
11873,Taco Bell
244482,Ross Dress For Less
178264,HEB
17276,Dollar Tree
3344,JPMorgan Chase
13233,Best Buy
717,Cracker Barrel
62825125,Wag!
25224,Dunkin' Donuts
16231321,The Wendy's Company
5294,Olive Garden
83472,American Eagle Outfitters
12252,H&M
596,AT&T
81210836,"Allied Universal Security Services, Systems and Solutions"
4811,Whole Foods Market
14581,Pizza Hut
24884087,Burlington Stores
43924062,Shipt
94460,Planet Fitness
200160,IHOP
10305,PepsiCo
86925,Barnes & Noble
13885,T.J. Maxx
103196,Tesco
112848,Ulta
15922,Alorica
156903,Apple
154264,Foot Locker
12742646,Glaze Trading India Pvt. Ltd
34486843,DoorDash
23285300,Banco Bradesco S/A
1128976,Tata Consultancy Services (TCS)
29215,Hobby Lobby
181300,Whataburger
58042476,Amazon Flex
27018,Sonic Drive-In
11872,DICK'S Sporting Goods
289476,QuikTrip
12156,Applebee's
111931,Trader Joe's
1111906,Coles
10718,Tim Hortons
10013,Verizon
22730,Old Navy
43894866,VIPKid
5296,Goodwill Industries
147849,Victoria's Secret
10425,Family Dollar
180366,Frito-Lay
6705,Chili's
2985767,Enterprise Holdings
1701,GEICO
6151,T-Mobile
913992,Primark
37636069,Skip the Dishes
129688,Safeway
231471,Sitel
403,Marshalls
358148,G4S
3490402,Lojas Americanas
190299,Menards
8014,Little Caesars
19808684,J Sainsbury Plc.
223908,"Marriott International, Inc."